Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
AzureFunctionsUpgrade.0002,Enable the use of the V2 model for Azure Functions projects and enable Application Insights.,Active,Mandatory,3,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\NCS.DSS.Customer.csproj,,,,,,,,
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\NCS.DSS.Customer.csproj,,,Microsoft.ApplicationInsights.WorkerService 2.22.0,,,,,"Microsoft.ApplicationInsights.WorkerService, 2.22.0  Recommendation:  Remove Microsoft.ApplicationInsights.WorkerService, and replace with new package Microsoft.ApplicationInsights.WorkerService 2.23.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\NCS.DSS.Customer.csproj,,,Microsoft.Azure.Functions.Worker.ApplicationInsights 2.0.0,,,,,"Microsoft.Azure.Functions.Worker.ApplicationInsights, 2.0.0  Recommendation:  Remove Microsoft.Azure.Functions.Worker.ApplicationInsights, and replace with new package Microsoft.Azure.Functions.Worker.ApplicationInsights 2.50.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\NCS.DSS.Customer.csproj,,,Microsoft.Extensions.DependencyInjection 9.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 9.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\NCS.DSS.Customer.csproj,,,Microsoft.Azure.Functions.Worker.Extensions.Http 3.2.0,,,,,"Microsoft.Azure.Functions.Worker.Extensions.Http, 3.2.0  Recommendation:  Remove Microsoft.Azure.Functions.Worker.Extensions.Http, and replace with new package Microsoft.Azure.Functions.Worker.Extensions.Http 3.3.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\NCS.DSS.Customer.csproj,,,Microsoft.Azure.Functions.Worker.Sdk 1.17.4,,,,,"Microsoft.Azure.Functions.Worker.Sdk, 1.17.4  Recommendation:  Remove Microsoft.Azure.Functions.Worker.Sdk, and replace with new package Microsoft.Azure.Functions.Worker.Sdk 2.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\NCS.DSS.Customer.csproj,,,Microsoft.Azure.Functions.Worker 1.22.0,,,,,"Microsoft.Azure.Functions.Worker, 1.22.0  Recommendation:  Remove Microsoft.Azure.Functions.Worker, and replace with new package Microsoft.Azure.Functions.Worker 2.51.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\NCS.DSS.Customer.csproj,,,Microsoft.Azure.Functions.Worker.Extensions.CosmosDB 3.0.9,,,,,"Microsoft.Azure.Functions.Worker.Extensions.CosmosDB, 3.0.9  Recommendation:  Remove Microsoft.Azure.Functions.Worker.Extensions.CosmosDB, and replace with new package Microsoft.Azure.Functions.Worker.Extensions.CosmosDB 4.14.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\NCS.DSS.Customer.csproj,,,Microsoft.Azure.Functions.Worker.Extensions.Http.AspNetCore 1.3.2,,,,,"Microsoft.Azure.Functions.Worker.Extensions.Http.AspNetCore, 1.3.2  Recommendation:  Remove Microsoft.Azure.Functions.Worker.Extensions.Http.AspNetCore, and replace with new package Microsoft.Azure.Functions.Worker.Extensions.Http.AspNetCore 2.1.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\NCS.DSS.Customer.csproj,,,Microsoft.ApplicationInsights.WorkerService 2.22.0,,,,,"Microsoft.ApplicationInsights.WorkerService, 2.22.0  Recommendation:  This version is deprecated. Please use the most recent version. Remove Microsoft.ApplicationInsights.WorkerService, and replace with new package Microsoft.ApplicationInsights.WorkerService, 3.0.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\NCS.DSS.Customer.csproj,,,Microsoft.Identity.Client 4.61.3,,,,,"Microsoft.Identity.Client, 4.61.3  Recommendation:  These packages have an API comment with an URL with a typo, which does not belong to Microsoft and which can lead to typo-squatting. The packages are flagged by antiviruses. Remove Microsoft.Identity.Client, and replace with new package Microsoft.Identity.Client, 4.82.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\NCS.DSS.Customer.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\Helpers\SearchHelper.cs,21,12,T:System.Uri,,,,,"_client = new SearchClient(new Uri($""https://{SearchServiceName}.search.windows.net""), SearchServiceIndexName, new AzureKeyCredential(SearchServiceKey));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\Helpers\SearchHelper.cs,21,12,M:System.Uri.#ctor(System.String),,,,,"_client = new SearchClient(new Uri($""https://{SearchServiceName}.search.windows.net""), SearchServiceIndexName, new AzureKeyCredential(SearchServiceKey));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,NCS.DSS.Customer\NCS.DSS.Customer.csproj,File,NCS.DSS.Customer\Program.cs,26,12,T:Microsoft.Extensions.Hosting.HostBuilder,,,,,"var host = new HostBuilder()                  .ConfigureFunctionsWebApplication()                  .ConfigureAppConfiguration(configBuilder =>                  {                      configBuilder.SetBasePath(Environment.CurrentDirectory)                          .AddJsonFile(""local.settings.json"", optional: true,                              reloadOnChange: false)                          .AddEnvironmentVariables();                  })                  .ConfigureServices((context,services) =>                  {                      var configuration = context.Configuration;                      services.AddOptions<CustomerConfigurationSettings>()                          .Bind(configuration);                      services.AddLogging();                      services.AddApplicationInsightsTelemetryWorkerService();                       services.ConfigureFunctionsApplicationInsights();                      services.AddSingleton<IValidate, Validate>();                              services.AddSingleton<IHttpRequestHelper, HttpRequestHelper>();                      services.AddSingleton<IJsonHelper, JsonHelper>();                      services.AddScoped<ISwaggerDocumentGenerator, SwaggerDocumentGenerator>();                      services.AddScoped<IGetCustomerByIdHttpTriggerService, GetCustomerByIdHttpTriggerService>();                      services.AddScoped<IPostCustomerHttpTriggerService, PostCustomerHttpTriggerService>();                      services.AddScoped<IPatchCustomerHttpTriggerService, PatchCustomerHttpTriggerService>();                      services.AddScoped<ICustomerPatchService, CustomerPatchService>();                      services.AddScoped<ICustomerServiceBusClient, CustomerServiceBusClient>();                      services.AddTransient<ICosmosDBProvider, CosmosDBProvider>();                      services.AddSingleton(sp =>                      {                          var logger = sp.GetRequiredService<ILogger<Program>>();                            var connectionString = configuration[""CustomerConnectionString""];                          var endpoint = configuration[""CosmosDbEndpoint""];                            var options = new CosmosClientOptions                          {                              ConnectionMode = ConnectionMode.Gateway                          };                            if (!string.IsNullOrWhiteSpace(endpoint))                          {                              logger.LogInformation(""Using DefaultAzureCredential for Cosmos DB (managed identity)"");                              return new CosmosClient(endpoint, new DefaultAzureCredential(), options);                          }                          else if (!string.IsNullOrWhiteSpace(connectionString))                          {                              logger.LogInformation(""No managed identity found: using Cosmos DB connection string (local development)"");                              return new CosmosClient(connectionString, options);                          }                          else                          {                              throw new InvalidOperationException(""Neither CosmosDbEndpoint or a ConnectionString are configured"");                          }                      });                      services.AddSingleton(serviceProvider =>                      {                          var settings = serviceProvider.GetRequiredService<IOptions<CustomerConfigurationSettings>>().Value;                          return new ServiceBusClient(settings.ServiceBusConnectionString);                      });                      services.AddSingleton<IDynamicHelper, DynamicHelper>();                      services.Configure<LoggerFilterOptions>(options =>                      {                          LoggerFilterRule toRemove = options.Rules.FirstOrDefault(rule => rule.ProviderName                              == ""Microsoft.Extensions.Logging.ApplicationInsights.ApplicationInsightsLoggerProvider"");                          options.AddFilter(""Microsoft.AspNetCore"", LogLevel.Warning);                          if (toRemove is not null)                          {                              options.Rules.Remove(toRemove);                          }                      });                  })                  .Build();"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,NCS.DSS.Customer.Tests\NCS.DSS.Customer.Tests.csproj,File,NCS.DSS.Customer.Tests\NCS.DSS.Customer.Tests.csproj,,,Microsoft.Extensions.DependencyInjection 9.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 9.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,NCS.DSS.Customer.Tests\NCS.DSS.Customer.Tests.csproj,File,NCS.DSS.Customer.Tests\NCS.DSS.Customer.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
